location;start_date;end_date;day;plotid;municipality;U_landscape;U_local;urb_cat;phylum;class;order;suborder;length;width;area;biomass_indiv;n_indiv;sizeclass;ord_sub;func_species
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;2;0,8;1,6;0,191596593;1;SC05;DIP_BRA;SC05_DIP_BRA
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;1,3;0,6;0,78;0,072372232;1;SC03;DIP_BRA;SC03_DIP_BRA
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;0,9;0,3;0,27;0,03152449;1;SC02;DIP_BRA;SC02_DIP_BRA
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;2,2;1;2,2;0,237648594;1;SC05;DIP_BRA;SC05_DIP_BRA
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;1,6;0,6;0,96;0,115710069;1;SC04;DIP_BRA;SC04_DIP_BRA
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;1,8;0,9;1,62;0,150999619;1;SC04;DIP_BRA;SC04_DIP_BRA
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;7,5;2,9;21,75;3,799255025;1;SC16;DIP_BRA;SC16_DIP_BRA
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;7,5;2,9;21,75;3,799255025;1;SC16;DIP_BRA;SC16_DIP_BRA
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;2,5;1,2;3;0,317252031;1;SC06;DIP_BRA;SC06_DIP_BRA
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2,9;1,1;3,19;0,443689822;1;SC06;DIP_NEM;SC06_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,7;0,9;1,53;0,132701109;1;SC04;DIP_NEM;SC04_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,8;1,1;1,98;0,150999619;1;SC04;DIP_NEM;SC04_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;0,9;0,3;0,27;0,03152449;1;SC02;DIP_NEM;SC02_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,1;0,6;0,66;0,049614368;1;SC03;DIP_NEM;SC03_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,2;0,5;0,6;0,060396199;1;SC03;DIP_NEM;SC03_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2,8;0,9;2,52;0,409861516;1;SC06;DIP_NEM;SC06_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;0,8;0,4;0,32;0,02415702;1;SC02;DIP_NEM;SC02_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,8;0,5;0,9;0,150999619;1;SC04;DIP_NEM;SC04_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1;0,5;0,5;0,04;1;SC03;DIP_NEM;SC03_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;0,3;0,2;0,06;0,002632413;1;SC01;DIP_NEM;SC01_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2,1;0,8;1,68;0,213931924;1;SC05;DIP_NEM;SC05_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,2;0,6;0,72;0,060396199;1;SC03;DIP_NEM;SC03_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;0,9;0,2;0,18;0,03152449;1;SC02;DIP_NEM;SC02_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2;1,6;3,2;0,191596593;1;SC05;DIP_NEM;SC05_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2,3;0,4;0,92;0,262763417;1;SC05;DIP_NEM;SC05_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2;0,7;1,4;0,191596593;1;SC05;DIP_NEM;SC05_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,5;0,5;0,75;0,100006041;1;SC04;DIP_NEM;SC04_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,5;0,4;0,6;0,100006041;1;SC04;DIP_NEM;SC04_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;3,2;0,9;2,88;0,554241374;1;SC07;DIP_NEM;SC07_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2,1;0,7;1,47;0,213931924;1;SC05;DIP_NEM;SC05_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2,1;0,7;1,47;0,213931924;1;SC05;DIP_NEM;SC05_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2,5;1,1;2,75;0,317252031;1;SC06;DIP_NEM;SC06_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,8;0,7;1,26;0,150999619;1;SC04;DIP_NEM;SC04_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2,2;0,8;1,76;0,237648594;1;SC05;DIP_NEM;SC05_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2,1;0,8;1,68;0,213931924;1;SC05;DIP_NEM;SC05_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,8;0,6;1,08;0,150999619;1;SC04;DIP_NEM;SC04_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;4,6;1,7;7,82;1,258614385;1;SC10;DIP_NEM;SC10_DIP_NEM
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,2;0,6;0,72;0,060396199;1;SC03;DIP_NEM;SC03_DIP_NEM
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2,1;0,9;1,89;0,213931924;1;SC05;DIP_NEM;SC05_DIP_NEM
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2,1;0,9;1,89;0,213931924;1;SC05;DIP_NEM;SC05_DIP_NEM
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;2,4;0,6;1,44;0,289292649;1;SC05;DIP_NEM;SC05_DIP_NEM
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;0,7;0,2;0,14;0,017864117;1;SC02;DIP_NEM;SC02_DIP_NEM
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;0,5;0,2;0,1;0,008350879;1;SC02;DIP_NEM;SC02_DIP_NEM
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;0,6;0,1;0,06;0,012609034;1;SC02;DIP_NEM;SC02_DIP_NEM
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,3;0,4;0,52;0,072372232;1;SC03;DIP_NEM;SC03_DIP_NEM
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,7;0,5;0,85;0,132701109;1;SC04;DIP_NEM;SC04_DIP_NEM
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,4;0,6;0,84;0,0855676;1;SC03;DIP_NEM;SC03_DIP_NEM
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,3;0,3;0,39;0,072372232;1;SC03;DIP_NEM;SC03_DIP_NEM
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;DIPTERA;NEMATOCERA;1,3;0,3;0,39;0,072372232;1;SC03;DIP_NEM;SC03_DIP_NEM
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,1;0,7;1,47;0,213931924;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;3,3;1,1;3,63;0,594157379;1;SC07;HEM_AUC;SC07_HEM_AUC
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;3,2;1;3,2;0,554241374;1;SC07;HEM_AUC;SC07_HEM_AUC
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;3;0,6;1,8;0,47902042;1;SC07;HEM_AUC;SC07_HEM_AUC
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;5,2;1,7;8,84;1,660456673;1;SC11;HEM_AUC;SC11_HEM_AUC
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;1,9;1;1,9;0,170625183;1;SC04;HEM_AUC;SC04_HEM_AUC
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;1,5;0,6;0,9;0,100006041;1;SC04;HEM_AUC;SC04_HEM_AUC
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;1,5;0,6;0,9;0,100006041;1;SC04;HEM_AUC;SC04_HEM_AUC
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,4;0,9;2,16;0,289292649;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,5;0,8;2;0,317252031;1;SC06;HEM_AUC;SC06_HEM_AUC
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,6;1;2,6;0,346656827;1;SC06;HEM_AUC;SC06_HEM_AUC
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,2;0,8;1,76;0,237648594;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,2;0,9;1,98;0,237648594;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,2;0,7;1,54;0,237648594;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;3,3;1,3;4,29;0,594157379;1;SC07;HEM_AUC;SC07_HEM_AUC
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;3,3;1,3;4,29;0,594157379;1;SC07;HEM_AUC;SC07_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2;0,6;1,2;0,191596593;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2;0,6;1,2;0,191596593;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,8;0,8;2,24;0,409861516;1;SC06;HEM_AUC;SC06_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,3;0,7;1,61;0,262763417;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,2;1,1;2,42;0,237648594;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,2;0,7;1,54;0,237648594;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;3,4;0,9;3,06;0,63562701;1;SC07;HEM_AUC;SC07_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2;0,7;1,4;0,191596593;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,5;0,7;1,75;0,317252031;1;SC06;HEM_AUC;SC06_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,4;0,6;1,44;0,289292649;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2,4;0,6;1,44;0,289292649;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;3;1;3;0,47902042;1;SC07;HEM_AUC;SC07_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2;0,5;1;0,191596593;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;HEMIPTERA;AUCHENORRHYNCHA;2;0,5;1;0,191596593;1;SC05;HEM_AUC;SC05_HEM_AUC
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;HETEROPTERA;3;0,8;2,4;0,47902042;1;SC07;HEM_HET;SC07_HEM_HET
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;HETEROPTERA;2,5;1,3;3,25;0,317252031;1;SC06;HEM_HET;SC06_HEM_HET
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;HEMIPTERA;HETEROPTERA;2,7;1,1;2,97;0,377521855;1;SC06;HEM_HET;SC06_HEM_HET
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;STERNORRHYNCHA;2,1;0,9;1,89;0,213931924;1;SC05;HEM_STE;SC05_HEM_STE
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;STERNORRHYNCHA;2,2;1;2,2;0,237648594;1;SC05;HEM_STE;SC05_HEM_STE
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;STERNORRHYNCHA;1,5;0,6;0,9;0,100006041;1;SC04;HEM_STE;SC04_HEM_STE
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;STERNORRHYNCHA;1,5;0,7;1,05;0,100006041;1;SC04;HEM_STE;SC04_HEM_STE
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;STERNORRHYNCHA;1,5;0,7;1,05;0,100006041;1;SC04;HEM_STE;SC04_HEM_STE
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;STERNORRHYNCHA;1,7;0,7;1,19;0,132701109;1;SC04;HEM_STE;SC04_HEM_STE
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;STERNORRHYNCHA;1,7;0,8;1,36;0,132701109;1;SC04;HEM_STE;SC04_HEM_STE
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;HEMIPTERA;STERNORRHYNCHA;1,7;0,8;1,36;0,132701109;1;SC04;HEM_STE;SC04_HEM_STE
